="Filtros Utilizados"
="Vínculo";="TODOS";="Unidade";="PREFEITURA MUNICIPAL DE ARCOS"
="Mês";="01/2025";="Apresentar Por";="CARGOS"
="Gestão de Pessoas / Cargo"
="Cargo";="Servidores";="Salário Base";="Vencimentos Totais";="Descontos";="Líquido"
="F.Pub.Tec.em Enfermagem";="140";="R$ 145.814,97";="R$ 192.774,57";="R$ 26.047,13";="R$ 166.727,44"
="F.Publ - Of.Servico";="4";="R$ 5.742,00";="R$ 7.865,59";="R$ 595,90";="R$ 7.269,69"
="FARMACEUTICO";="2";="R$ 7.844,91";="R$ 13.699,81";="R$ 3.995,03";="R$ 9.704,78"
="FISCAL AGROPECUARIO";="1";="R$ 2.676,92";="R$ 4.195,38";="R$ 560,07";="R$ 3.635,31"
="FISCAL DE VIGILANCIA SANITARIA";="3";="R$ 7.821,90";="R$ 6.547,62";="R$ 1.539,17";="R$ 5.008,45"
="Fiscal Municipal De Obras";="2";="R$ 5.440,85";="R$ 6.740,06";="R$ 751,48";="R$ 5.988,58"
="Fiscal Municipal De Posturas";="3";="R$ 7.905,40";="R$ 9.082,08";="R$ 1.123,75";="R$ 7.958,33"
="Fiscal Municipal De Tributacao";="2";="R$ 6.573,26";="R$ 7.987,72";="R$ 4.365,34";="R$ 3.622,38"
="FISIOTERAPEUTA";="3";="R$ 11.929,37";="R$ 13.657,05";="R$ 2.084,26";="R$ 11.572,79"
="Fun Publica Assistente";="1";="R$ 2.120,16";="R$ 2.049,49";="R$ 161,68";="R$ 1.887,81"
="Fun. P. Aux.Saúde Bucal";="14";="R$ 22.227,09";="R$ 26.107,64";="R$ 2.041,24";="R$ 24.066,40"
="Fun. Púb. Orientador Social";="1";="R$ 2.597,18";="R$ 2.510,61";="R$ 203,18";="R$ 2.307,43"
="Fun. Pública Biomedico";="1";="R$ 3.760,45";="R$ 3.928,58";="R$ 461,07";="R$ 3.467,51"
="Funç públ - Procurador Municip";="2";="R$ 8.701,70";="R$ 8.701,70";="R$ 1.215,58";="R$ 7.486,12"
="Função p. - Assistente Social";="4";="R$ 11.281,35";="R$ 11.198,78";="R$ 1.954,88";="R$ 9.243,90"
="Função pública - Engenheiro";="1";="R$ 3.760,45";="R$ 3.635,10";="R$ 408,71";="R$ 3.226,39"
="Função pública - Nutricionista";="4";="R$ 15.904,88";="R$ 16.728,14";="R$ 4.060,97";="R$ 12.667,17"
="Funcao Publica Op.De Maquina";="2";="R$ 4.240,32";="R$ 5.692,82";="R$ 492,09";="R$ 5.200,73"
="Função Pública Psicologo";="16";="R$ 41.364,70";="R$ 40.686,98";="R$ 3.439,55";="R$ 37.247,43"
="Funcao Publica-Aj Serv Publ";="32";="R$ 44.107,26";="R$ 51.409,89";="R$ 4.033,55";="R$ 47.376,34"
="Inativos";="392";="R$ 700.766,47";="R$ 709.860,84";="R$ 144.594,80";="R$ 565.266,04"
="MEDICO VETERINARIO";="1";="R$ 4.084,46";="R$ 6.415,31";="R$ 2.063,55";="R$ 4.351,76"
="Monitor de Transporte Escolar";="5";="R$ 8.359,60";="R$ 16.945,44";="R$ 6.267,47";="R$ 10.677,97"
="Monitor Escolar";="19";="R$ 41.343,20";="R$ 55.254,66";="R$ 15.772,58";="R$ 39.482,08"
="Motorista";="43";="R$ 89.462,00";="R$ 197.890,38";="R$ 73.839,50";="R$ 124.050,88"
="NUTRICIONISTA";="3";="R$ 11.439,89";="R$ 14.647,57";="R$ 7.586,10";="R$ 7.061,47"
="Oficial De Serv.Especializado";="3";="R$ 6.437,48";="R$ 7.387,57";="R$ 1.734,92";="R$ 5.652,65"
="Oficial De Servico";="12";="R$ 25.174,47";="R$ 39.620,92";="R$ 13.015,52";="R$ 26.605,40"
="Operador De Maquinas";="9";="R$ 20.042,50";="R$ 32.587,39";="R$ 6.219,98";="R$ 26.367,41"
="Orientador Social";="1";="R$ 2.597,18";="R$ 0,00";="R$ 0,00";="R$ 0,00"
="Ouvidor";="1";="R$ 3.444,61";="R$ 3.329,79";="R$ 330,90";="R$ 2.998,89"
="PEB I,II,III";="134";="R$ 601.090,02";="R$ 1.052.692,02";="R$ 512.489,73";="R$ 540.202,29"
="PEB I,II,III-Ed.Inf.";="132";="R$ 520.406,50";="R$ 809.157,94";="R$ 334.742,64";="R$ 474.415,30"
="PEB IV";="17";="R$ 59.430,54";="R$ 112.452,54";="R$ 54.893,55";="R$ 57.558,99"
="Pensionista";="1";="R$ 9.874,36";="R$ 0,00";="R$ 0,00";="R$ 0,00"
="Pensionista";="30";="R$ 35.745,94";="R$ 35.740,03";="R$ 3.684,44";="R$ 32.055,59"
="Prefeito Municipal";="1";="R$ 22.614,44";="R$ 22.614,44";="R$ 6.012,89";="R$ 16.601,55"
="Procurador Municipal";="6";="R$ 30.881,85";="R$ 33.385,83";="R$ 7.190,94";="R$ 26.194,89"
